"","numid","id","Coach","Gender","Ethnicity","Age","Job_title","District_Site","Highest_degree","Years_educator","Years_administrator","Years_district","Years_position","Years_site","Efficacy","InstructEff","ManagEff","MoralEff","TRUST","Innovation1","Perception_of_Innovation1","Innovation_2","Perception_of_Innovation2","Innovation_3","Perception_of_Innovation3","sample","Marital_status","work_location"
"1",1,"D17_Supv.1",5,1,4,5,6,1,1,5,2,5,2,5,4.61111111111111,3.66666666666667,4.16666666666667,6,3.75,4,0,3,1,1,1,1,NA,NA
"2",2,"D19_Dir.1",5,2,4,5,4,1,NA,NA,3,2,2,2,5,5,5,5,4.125,13,14,9,5,6,3,1,NA,NA
"3",3,"D1_Prin.1",5,1,0,5,3,1,3,3,2,3,1,1,6.05555555555556,6,5,7.16666666666667,4,14,4,21,2,27,2,1,NA,NA
"4",4,"D23_Dir.1",5,1,0,4,4,1,NA,5,3,5,1,5,4.94444444444444,5.16666666666667,3,6.66666666666667,3.75,6,0,5,0,2,1,1,NA,NA
"5",5,"D25_Coor.1",5,1,4,6,5,1,NA,6,2,6,2,2,5.22222222222222,6.33333333333333,4,5.33333333333333,5.125,10,17,1,13,3,11,1,NA,NA
"6",6,"D28_Coor.1",5,1,4,4,3,1,3,4,2,4,1,1,5.05882352941176,5.33333333333333,5.4,4.5,4.5,7,5,6,4,7,3,1,NA,NA
"7",7,"D2_Supv.1",5,1,4,5,4,1,NA,5,2,2,1,2,6.55555555555556,7.33333333333333,5.5,6.83333333333333,5.625,1,0,1,1,1,1,1,NA,NA
"8",8,"D30_Supe.1",5,2,4,6,2,1,3,4,4,1,4,1,7.61111111111111,7,8,7.83333333333333,4.5,3,9,0,18,5,8,1,NA,NA
"9",9,"D31_Supv.1",5,2,4,4,6,1,1,NA,1,4,1,3,5.66666666666667,4.5,5.16666666666667,7.33333333333333,4.125,6,0,5,0,3,0,1,NA,NA
"10",10,"D3_Dir.1",NA,1,1,4,2,1,3,3,2,1,1,1,7.38888888888889,7.83333333333333,7.33333333333333,7,4.625,20,11,29,14,24,13,1,NA,NA
"11",11,"D40_Coor.1",5,1,2,4,5,1,3,4,1,3,1,1,5.88235294117647,6.4,6.33333333333333,5,4.125,3,3,1,4,4,4,1,NA,NA
"12",12,"D43_Dir.1",5,2,4,5,4,1,1,5,5,5,5,5,5.11764705882353,5.8,5.5,4.16666666666667,4.25,10,0,6,2,1,2,1,NA,NA
"13",13,"D46_Dir.1",5,1,4,5,4,1,1,5,5,5,5,5,7.72222222222222,7.33333333333333,5,6.33333333333333,5.75,8,11,4,26,0,7,1,NA,NA
"14",14,"D47_Dir.1",NA,2,4,4,3,1,3,4,4,4,3,3,NA,7.66666666666667,7.66666666666667,7.83333333333333,NA,12,4,11,2,7,3,1,NA,NA
