"","ego","alter","weight","relation"
"1",1,15,1,"Course"
"2",1,42,3,"Course"
"3",1,48,3,"Course"
"4",1,54,3,"Course"
"5",1,70,3,"Course"
"6",2,10,2,"Course"
"7",2,35,1,"Course"
"8",2,37,3,"Course"
"9",2,41,1,"Course"
"10",3,11,2,"Course"
"11",3,20,1,"Course"
"12",3,44,3,"Course"
"13",3,57,2,"Course"
"14",4,2,3,"Course"
"15",4,10,2,"Course"
"16",4,24,1,"Course"
"17",4,28,2,"Course"
"18",4,35,1,"Course"
"19",4,46,2,"Course"
"20",5,7,2,"Course"
"21",5,17,2,"Course"
"22",5,34,2,"Course"
"23",5,61,3,"Course"
"24",6,15,1,"Course"
"25",6,22,2,"Course"
"26",6,25,3,"Course"
"27",6,26,3,"Course"
"28",6,70,2,"Course"
"29",7,65,2,"Course"
"30",8,19,3,"Course"
"31",10,2,3,"Course"
"32",10,16,3,"Course"
"33",10,25,2,"Course"
"34",10,41,1,"Course"
"35",10,49,2,"Course"
"36",10,52,3,"Course"
"37",11,3,2,"Course"
"38",11,20,3,"Course"
"39",11,22,1,"Course"
"40",12,27,3,"Course"
"41",12,29,2,"Course"
"42",12,69,2,"Course"
"43",13,44,2,"Course"
"44",14,29,2,"Course"
"45",14,33,2,"Course"
"46",14,63,3,"Course"
"47",14,70,3,"Course"
"48",15,42,1,"Course"
"49",15,45,2,"Course"
"50",15,62,3,"Course"
"51",16,10,3,"Course"
"52",16,25,2,"Course"
"53",16,52,3,"Course"
"54",16,69,2,"Course"
"55",17,5,1,"Course"
"56",17,7,2,"Course"
"57",17,34,2,"Course"
"58",17,61,3,"Course"
"59",18,3,2,"Course"
"60",18,5,1,"Course"
"61",18,17,1,"Course"
"62",18,53,2,"Course"
"63",18,54,1,"Course"
"64",18,60,1,"Course"
"65",19,8,3,"Course"
"66",20,11,1,"Course"
"67",20,33,1,"Course"
"68",21,14,1,"Course"
"69",21,16,2,"Course"
"70",21,29,1,"Course"
"71",21,40,1,"Course"
"72",21,53,1,"Course"
"73",21,58,2,"Course"
"74",21,59,2,"Course"
"75",21,69,3,"Course"
"76",22,6,2,"Course"
"77",22,26,2,"Course"
"78",22,38,3,"Course"
"79",22,55,1,"Course"
"80",23,38,2,"Course"
"81",23,55,1,"Course"
