"","ego","alter","weight","relation"
"1",1,28,1,"Reform"
"2",1,48,3,"Reform"
"3",2,4,2,"Reform"
"4",2,37,3,"Reform"
"5",2,49,2,"Reform"
"6",2,69,2,"Reform"
"7",3,11,2,"Reform"
"8",3,18,1,"Reform"
"9",3,20,1,"Reform"
"10",3,44,3,"Reform"
"11",4,16,3,"Reform"
"12",4,28,2,"Reform"
"13",4,35,1,"Reform"
"14",4,37,2,"Reform"
"15",4,42,1,"Reform"
"16",4,69,2,"Reform"
"17",5,17,2,"Reform"
"18",5,34,2,"Reform"
"19",6,22,2,"Reform"
"20",6,26,2,"Reform"
"21",6,38,2,"Reform"
"22",6,70,2,"Reform"
"23",7,5,2,"Reform"
"24",7,65,2,"Reform"
"25",8,19,3,"Reform"
"26",9,24,2,"Reform"
"27",9,67,2,"Reform"
"28",10,16,3,"Reform"
"29",10,25,2,"Reform"
"30",10,37,2,"Reform"
"31",10,52,3,"Reform"
"32",10,69,2,"Reform"
"33",11,20,2,"Reform"
"34",12,28,1,"Reform"
"35",12,29,2,"Reform"
"36",14,29,2,"Reform"
"37",14,33,3,"Reform"
"38",14,63,3,"Reform"
"39",14,66,3,"Reform"
"40",14,70,2,"Reform"
"41",15,58,2,"Reform"
"42",16,5,3,"Reform"
"43",16,25,2,"Reform"
"44",16,37,2,"Reform"
"45",16,49,2,"Reform"
"46",16,52,3,"Reform"
"47",17,20,1,"Reform"
"48",17,34,2,"Reform"
"49",17,40,1,"Reform"
"50",17,61,2,"Reform"
"51",18,5,2,"Reform"
"52",18,34,2,"Reform"
"53",18,43,2,"Reform"
"54",18,44,2,"Reform"
"55",18,53,3,"Reform"
"56",18,60,2,"Reform"
"57",20,11,3,"Reform"
"58",21,10,1,"Reform"
"59",21,16,3,"Reform"
"60",21,53,3,"Reform"
"61",21,65,2,"Reform"
"62",22,6,2,"Reform"
"63",22,11,3,"Reform"
"64",22,20,1,"Reform"
"65",22,26,2,"Reform"
"66",22,38,3,"Reform"
"67",23,27,1,"Reform"
"68",23,38,2,"Reform"
"69",23,55,1,"Reform"
"70",23,58,2,"Reform"
"71",24,9,3,"Reform"
"72",24,40,1,"Reform"
"73",24,67,2,"Reform"
"74",25,16,3,"Reform"
"75",25,29,2,"Reform"
"76",25,37,2,"Reform"
"77",25,52,3,"Reform"
"78",26,6,2,"Reform"
"79",26,15,2,"Reform"
"80",26,38,2,"Reform"
"81",26,46,2,"Reform"
"82",27,11,2,"Reform"
"83",27,12,2,"Reform"
"84",27,14,1,"Reform"
"85",27,15,2,"Reform"
"86",28,16,3,"Reform"
"87",28,35,1,"Reform"
"88",29,12,2,"Reform"
"89",29,14,2,"Reform"
"90",29,66,2,"Reform"
"91",32,13,2,"Reform"
"92",33,14,1,"Reform"
"93",33,63,3,"Reform"
"94",33,70,3,"Reform"
"95",35,2,1,"Reform"
"96",35,4,1,"Reform"
"97",35,13,2,"Reform"
"98",35,16,3,"Reform"
"99",35,37,2,"Reform"
"100",36,4,2,"Reform"
"101",36,12,2,"Reform"
"102",36,16,2,"Reform"
"103",36,28,2,"Reform"
"104",36,42,1,"Reform"
"105",37,2,1,"Reform"
"106",37,4,2,"Reform"
"107",37,16,3,"Reform"
"108",37,28,1,"Reform"
"109",37,35,2,"Reform"
"110",38,10,1,"Reform"
"111",38,11,3,"Reform"
"112",38,22,2,"Reform"
"113",39,10,1,"Reform"
"114",39,17,2,"Reform"
"115",40,9,2,"Reform"
"116",40,13,1,"Reform"
"117",40,24,2,"Reform"
"118",40,44,2,"Reform"
"119",40,47,2,"Reform"
"120",40,67,3,"Reform"
"121",41,2,1,"Reform"
"122",43,15,2,"Reform"
"123",43,46,2,"Reform"
"124",44,3,2,"Reform"
"125",45,15,2,"Reform"
"126",45,24,1,"Reform"
"127",45,58,2,"Reform"
"128",46,15,2,"Reform"
"129",46,43,2,"Reform"
"130",47,9,2,"Reform"
"131",47,67,2,"Reform"
"132",48,54,1,"Reform"
"133",48,63,2,"Reform"
"134",48,70,2,"Reform"
"135",49,2,1,"Reform"
"136",49,4,2,"Reform"
"137",49,16,3,"Reform"
"138",50,54,2,"Reform"
"139",51,6,2,"Reform"
"140",51,7,2,"Reform"
"141",51,14,2,"Reform"
"142",51,20,1,"Reform"
"143",51,29,3,"Reform"
"144",51,50,2,"Reform"
"145",51,62,1,"Reform"
"146",51,63,2,"Reform"
"147",51,64,3,"Reform"
"148",52,16,3,"Reform"
"149",52,35,1,"Reform"
"150",52,37,2,"Reform"
"151",53,5,2,"Reform"
"152",53,34,2,"Reform"
"153",53,47,2,"Reform"
"154",54,9,2,"Reform"
"155",54,47,3,"Reform"
"156",54,67,2,"Reform"
"157",54,70,2,"Reform"
"158",55,20,1,"Reform"
"159",55,38,2,"Reform"
"160",56,59,1,"Reform"
"161",56,63,3,"Reform"
"162",56,68,3,"Reform"
"163",57,60,2,"Reform"
"164",57,70,1,"Reform"
"165",58,15,2,"Reform"
"166",59,29,2,"Reform"
"167",59,66,3,"Reform"
"168",59,68,3,"Reform"
"169",60,34,2,"Reform"
"170",60,44,2,"Reform"
"171",60,47,2,"Reform"
"172",60,57,2,"Reform"
"173",60,66,2,"Reform"
"174",62,47,3,"Reform"
"175",62,67,2,"Reform"
"176",63,33,3,"Reform"
"177",63,39,2,"Reform"
"178",63,56,1,"Reform"
"179",63,70,2,"Reform"
"180",64,7,1,"Reform"
"181",64,70,2,"Reform"
"182",65,5,2,"Reform"
"183",66,14,2,"Reform"
"184",66,68,2,"Reform"
"185",67,9,2,"Reform"
"186",67,24,2,"Reform"
"187",67,40,1,"Reform"
"188",67,47,2,"Reform"
"189",68,20,2,"Reform"
"190",68,59,1,"Reform"
"191",68,63,3,"Reform"
"192",68,66,3,"Reform"
"193",68,70,2,"Reform"
"194",69,28,2,"Reform"
"195",69,42,1,"Reform"
"196",70,6,2,"Reform"
"197",70,29,2,"Reform"
"198",70,33,3,"Reform"
"199",70,57,1,"Reform"
"200",70,63,3,"Reform"
