"","From","To","relation","value"
"1",10,169,"Advice",1
"2",10,49,"Advice",1
"3",10,229,"Advice",1
"4",10,171,"Advice",1
"5",10,43,"Advice",1
"6",16,59,"Advice",1
"7",16,75,"Advice",1
"8",20,50,"Advice",1
"9",20,147,"Advice",1
"10",20,267,"Advice",1
"11",20,43,"Advice",1
"12",20,80,"Advice",1
"13",20,182,"Advice",1
"14",21,84,"Advice",1
"15",21,220,"Advice",1
"16",21,40,"Advice",1
"17",24,332,"Advice",1
"18",24,84,"Advice",1
"19",24,129,"Advice",1
"20",24,209,"Advice",1
"21",24,52,"Advice",1
"22",24,50,"Advice",1
"23",24,302,"Advice",1
"24",24,130,"Advice",1
"25",24,100,"Advice",1
"26",24,200,"Advice",1
"27",24,21,"Advice",1
"28",30,90,"Advice",1
"29",30,171,"Advice",1
"30",30,20,"Advice",1
"31",30,267,"Advice",1
"32",30,37,"Advice",1
"33",37,90,"Advice",1
"34",37,20,"Advice",1
"35",37,30,"Advice",1
"36",37,75,"Advice",1
"37",37,147,"Advice",1
"38",37,267,"Advice",1
"39",37,312,"Advice",1
"40",40,220,"Advice",1
"41",40,84,"Advice",1
"42",40,182,"Advice",1
"43",40,211,"Advice",1
"44",40,257,"Advice",1
"45",40,276,"Advice",1
"46",40,339,"Advice",1
"47",41,319,"Advice",1
"48",41,40,"Advice",1
"49",41,173,"Advice",1
"50",41,171,"Advice",1
"51",41,276,"Advice",1
"52",41,116,"Advice",1
"53",41,231,"Advice",1
"54",41,182,"Advice",1
"55",41,339,"Advice",1
"56",41,194,"Advice",1
"57",41,136,"Advice",1
"58",50,194,"Advice",1
"59",50,319,"Advice",1
"60",50,211,"Advice",1
"61",50,52,"Advice",1
"62",50,40,"Advice",1
"63",50,129,"Advice",1
"64",52,211,"Advice",1
"65",52,209,"Advice",1
"66",52,84,"Advice",1
"67",52,40,"Advice",1
"68",52,50,"Advice",1
"69",52,339,"Advice",1
"70",52,220,"Advice",1
"71",52,21,"Advice",1
"72",52,257,"Advice",1
"73",52,180,"Advice",1
"74",52,350,"Advice",1
"75",52,171,"Advice",1
"76",56,298,"Advice",1
"77",56,183,"Advice",1
