"","unodes","Division","Divisionc","Building","Buildingc","Dept","Deptc","Status","Statusc","Fulltime","Supervisor","Gender","Genderc","Race","Racec","Ageyrs","Tenureyrs","Education","Institution","GradYr","EIperc","EIfac","EIund","EImgt","EItotal","ito","jobsat","occ","oca","oc","wkinclu","flextimeh","pos","procjust","pied","satreward","satpay","satbenefit","satall","distjust","satsuper","satsocreward","sreffort","jobsearch","trustsuper","trustcowker","interperjust","srocbi","srocbo","srocb","wkfamconflict","wkfamconflictMC","famwkconflict","wkfamwkconflict","panaspos","panasneg","panascomb","agreeabl","conscient","ocbi","ocbo","ocb","efforts","absenses","knowledgeproc","knowledgejob","knowledge","performance","overallperformance","F70","F71","F72","F73","F74","F75","F76","F77","F78","F79","F80","F81","F82","F83","F84","F85","F86","F87","F88","F89","F90","F91","F92","F93","F94","F95","F96","F97","F98","F99","F100","F101","F102","F103","F104","F105","F106","F107","F108"
"1",9,"LEXINGTON",2,"CREATIVEDR",8,"""Diag Direct Labor """,12,"ACTIVE",1,1,0,"MALE",1,"Black",2,45,5.91666666666667,2,"""na""",NA,78.5142963871272,100.681683339953,59.4856214575971,111.207948167209,85.1191992563554,3.33,3.67,2.625,2.8,2.7125,3.57142857142857,4,2.83333333333333,3,3,2,2.4,3.5,2.63333333333333,3,3.75,4,4,2.125,3.4,3.8,4,4,3.75,3.875,2.75,-0.073,4.2,3.475,3.75,2.25,3,4.2,3.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2",10,"LEXINGTON",2,"CREATIVEDR",8,"""Indirect Labor Vet""",42,"ACTIVE",1,1,0,"FEMALE",0,"White",1,20,0.666666666666667,3,"""Bluegrass Community and Technical College""",2008,108.984930601747,88.6164914823819,105.507477117064,110.249572761372,104.856408980967,5,1.67,1.125,1.2,1.1625,1.42857142857143,1,1,1.25,2,1,2.2,1,1.4,1,1,2.33,5,5,1,3,1,4.75,2.5,3.625,5,2.177,2.2,3.6,1.83333333333333,3.83333333333333,2.83333333333333,4.2,4.4,1,1.5,1.25,2,5,1,4,2.5,2,1.57,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3",16,"LEXINGTON",2,"NANDINO",7,"""R&D""",28,"ACTIVE",1,1,0,"FEMALE",0,"White",1,26,2.16666666666667,5,"""University of Kentucky""",2003,111.248463429119,73.5350016604184,114.663657824183,110.249572761372,101.41468913575,3,4,2.125,2.6,2.3625,3.85714285714286,1,3.33333333333333,3.25,2.33333333333333,2,2.4,2.5,2.3,3,3.5,4,4,1.375,3.6,4,3.8,3.25,2.75,3,2,-0.823,2,2,3.5,1.83333333333333,2.66666666666667,4.8,4.5,3.5,3,3.25,4,1,4,5,4.5,5,4.57,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4",20,"LEXINGTON",2,"NANDINO",7,"""Diag Indirect Labor """,40,"ACTIVE",1,1,1,"FEMALE",0,"White",1,37,9.91666666666667,5,"""Eastern Kentucky University""",1992,95.2296157277185,110.786281520668,105.507477117064,111.207948167209,109.983869158535,3,5,3.125,2.9,3.0125,4.28571428571429,2,2.66666666666667,3.5,2.66666666666667,1,1.6,4.5,2.36666666666667,1,3.5,4.33,5,1.25,3.8,3.4,3.8,5,3.5,4.25,1.75,-1.073,1,1.375,4,3.25,3.625,3.4,4.5,4,3.75,3.88,5,2,4,5,4.5,5,4.43,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5",21,"LEXINGTON",2,"NANDINO",7,"""AS Dist Indirect""",39,"ACTIVE",1,1,0,"MALE",1,"White",1,31,10.0833333333333,2,"""na""",NA,61.2766233171423,86.2034531108678,79.2436956150646,110.249572761372,76.8309759556289,4.33,4.67,3.5,2.6,3.05,3.57142857142857,1,2.83333333333333,2.5,2.66666666666667,1,1.2,1.5,1.23333333333333,1,3,4.33,5,2.875,2.6,3.2,2.8,4.75,4.5,4.625,4.75,1.927,2.8,3.775,4.16666666666667,2.91666666666667,3.54166666666667,4.1,3.7,2,2.5,2.25,1,1,5,5,5,1,2.43,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6",23,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7",24,"LEXINGTON",2,"NANDINO",7,"""Sales & Marketing """,29,"ACTIVE",1,1,0,"MALE",1,"White",1,30,1.33333333333333,5,"""University of Kentucky""",2000,97.4931485550903,89.9738255663586,98.519865524789,79.3898846934214,87.5073313938528,3,4,2,2.9,2.45,3,5,3.66666666666667,2.25,3.33333333333333,3,3,3,3,2,5,5,4,1.125,4,3.4,4,3.75,3.25,3.5,1,-1.823,1,1,3.5,1.83333333333333,2.66666666666667,3.5,3.6,3.75,4,3.88,4,2,4,4,4,4,3.86,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8",30,"LEXINGTON",2,"NANDINO",7,"""Diag Direct Labor """,12,"ACTIVE",1,1,0,"FEMALE",0,"White",1,51,10.3333333333333,2,"""na""",NA,108.984930601747,111.389541113547,114.663657824183,111.207948167209,118.482810000805,2.67,4,3.875,4.1,3.9875,3.85714285714286,3,3.33333333333333,3.5,3.33333333333333,3,3.4,4.5,3.63333333333333,3.5,4,3.67,4.25,1.125,4,4,3.8,3.5,3.25,3.375,1,-1.823,1,1,2.75,3.25,3,5,4.5,4.25,3.75,4,5,1,4,5,4.5,4,4.29,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9",33,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10",37,"LEXINGTON",2,"NANDINO",7,"""Diag Direct Labor """,12,"ACTIVE",1,1,0,"FEMALE",0,"White",1,28,2.58333333333333,5,"""University of Kentucky""",2003,111.248463429119,100.078423747074,114.663657824183,98.3657177289938,109.421955714418,4.33,2.67,3,2,2.5,4.85714285714286,2,3.16666666666667,3.25,3.33333333333333,1,1.8,4,2.26666666666667,1,5,5,5,2.625,4.8,4,4.8,4.75,5,4.875,1,-1.823,1,1,3.83333333333333,2.5,3.16666666666667,4.88888888888889,4.5,2.5,3,2.75,4,2,5,5,5,4,3.86,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
